ID,Strategy
0,
1,RSI_2
2,LLR
3,MAC
4,RSI_1
5,Connors RSI
6,CRSI with Trend
7,TSI
8,Dochain
9,Gut
10,Supertrend
11,Nifty Hedge
12,Supertrend LT
13,Mistake
14,SimpleMAC
15,CallRatioSpreads
16,Dynamic Delta Hedging
17,Option Range
18,Defense
19,ST MA
20,ST Daily
21,ST Multiple
22,A1001
23,A1002
24,A1003
25,A1004
26,A1005
27,A1006
28,A1007
29,A1008
30,B1001
31,B1002
32,B1003
33,B1004
34,B1005
35,B1006
36,B1007
37,C1001
38,C-TSI
39,Short Option Straddle
40,Reverse Jade Lizard
41,Bear Call Spread
42,Oversold Bullish Call
43,Reverse Collar
44,Long Option Strraddle
45,C1001
46,Calender Spread
47,Random Punt
48,Discretion
49,Straddle Calendar
50,Jade Lizard
51,Ratio Strangle
52,Short Option Strangle
53,Put Ratio Spreads
54,Short Call Butterfly
55,Long Term Bet
56,Equity 8110
57,Equity 7145
58,Equity MR
59,Covered Call
60,Titman111218
61,C1002
62,TitmanMidcap
63,TilmanSmallCap
64,Cash Secured Put
65,STF MA Crossover
66,5MA1
67,5EMA1
68,5EMA2
69,5ST1
70,5ST2
71,15MA1
72,15MA2
73,15EMA1
74,15EMA2
75,15ST1
76,15ST2
77,30MA1
78,30MA2
79,30MA3
80,30EMA1
81,S30ST1
82,30ST2
83,60MA1
84,SixtyMA2
85,SixtyEMA1
86,60EMA2
87,SixtyST1
88,60ST2
89,S30EMAHL1
90,S30EMAHL2
91,S30EMAHL3
92,SixtyEMAHL1
93,SixtyEMAHL2
94,SixtyEMAHL3
95,DMA1
96,EverydayMA2
97,DMA3
98,DMA4
99,DEMA1
100,EverydayEMA2
101,DEMA3
102,EverydayEMA4
103,EverydayEMA5
104,EverydayST1
105,DST2
106,EverydayMAHL1
107,EverydayMAHL2
108,EverydayMAHL3
109,EverydayEMAHL1
110,EverydayEMAHL2
111,LowVolEquity
112,5MA2 Options
113,HighAlphaEquity
114,HighAlphaShortIndex
115,Value(High Momentum)
116,QualityAlphaValue
117,Value(Low Momentum)
118,Iron Condor
119,Calender Condor
120,Cash Future Arbitrage
121,FDMA1
122,FDMA2
123,FDMA3
124,FDEMA1
125,FDEMA2
126,FDEMA3
127,Low Vol NSE200
128,CM Chase
129,High Frequency Alpha
130,ex Index HF
131,1%Banknifty
132,NiftyExpiryStraddle
133,Dyanamic Straddles
134,Dynamic Iron Flies
135,Strangles with SL
136,Timed Straddles
137,Wait and Trade
138,Value Futures
139,Alpha New
140,Momentum New
141,30MA4
142,30EMA2
143,30ST3
144,30ST4
145,60MA3
146,60MA4
147,60EMA3
148,60EMA4
149,60ST3
150,DMA5
151,DEMA6
152,DEMA7
153,DEMA8
154,DST3
155,O5MA1
156,O5EMA1
157,OTM Index Options
158,O15MA1
159,O15EMA1
160,O5ST1
161,O15ST1
162,Option Box
163,O30MA1
164,O30EMA1
165,O30ST1
166,O5ST2
167,Adjustment Trend Following Options
168,30minDonchainBuy1
169,15minDonchainBuy1
170,15minDonchainSell1
171,30minDonchainSell1
172,Merger Arbitrage
173,N5SMA1
174,N5SMA2
175,N5EMA1
176,N5EMA2
177,N5EMA3
178,N5ST1
179,N5ST2N
180,N15SMA1S
181,N15SMA2S
182,N15SMA3H
183,N15SMA4G
184,N15SMA5N
185,N15SMA6
186,N15EMA1G
187,N15EMA2
188,P5N15EMA3N
189,N15ST1N
190,N15ST2N
191,N15ST3
192,P5N15ST4N
193,N15ST5S
194,N30SMA1M
195,N30SMA2G
196,N30SMA3H
197,P5N30SMA4N
198,N30SMA5S
199,N30SMA6M
200,P5N30EMA1G
201,N30EMA2H
202,N30EMA3G
203,N30EMA4G
204,N30EMA5M
205,N30ST1M
206,P5N30ST2G
207,N30ST3N
208,N30ST4S
209,N60SMA1M
210,N60SMA2N
211,N60SMA3M
212,N60SMA4M
213,P5N60SMA5G
214,P5N60EMA1N
215,N60EMA2N
216,N60EMA3
217,N60EMA4S
218,N60EMA5H
219,P5N60ST1G
220,P5N60ST2G
221,N60ST3G
222,N60ST4G
223,P5N60ST5N
224,NDSMA1M
225,P5NDSMA2N
226,NDSMA3G
227,NDSMA4H
228,NDSMA5N
229,P5NDSMA6N
230,NDSMA7G
231,NDEMA1N
232,NDEMA2G
233,NDEMA3H
234,NDEMA4G
235,NDEMA5H
236,NDEMA6G
237,NDEMA7N
238,P5NDEMA8N
239,NDEMA9H
240,NDST1M
241,NDST2N
242,NDST3S
243,P5NDST4N
244,P5N60MACD1G
245,NDMACD1H
247,NDEMA10S
248,N15ST6N
249,FM_1
250,P5N15ST7N
251,N30EMA6S
252,N60SMA6M
253,P5N60EMA6G
254,NDMACD2S
255,Pair Trading
256,SM_1
257,5Paisa Strategies
258,P5DSMA1G
259,P5DSMA2G
260,SM_2
261,P5DSMA3G
262,NDSMA4S
263,NDEMA1M
264,NDEMA2H
265,NDEMA13H
266,P560SMA1N
267,N60SMA2S
268,N60SMA3H
269,N60SMA4S
270,P5N60EMA3G
271,P560EMA2G
272,N30SMA1G
273,P5N30SMA2G
274,N30SMA3M
275,N30EMA1H
276,N30EMA2N
277,P5N15ST8N
278,N30SMA5M
279,P560EMA1N
280,FM_2
281,Kunal
282,Tax
283,N60EMA7H
284,N60EMA8S
285,N30EMA7M
286,N30EMA8G
287,NDEMA11N
288,P5NDEMA12G
289,P5NDEMA13N
290,MCDSMA1H
291,MCDSMA2S
292,MCDSMA3M
293,MCDSMA4G
294,MCDSMA5N
295,MCDSMA6SS
296,MCDSMA7RS
297,MCDEMA1H
298,MCDEMA2S
299,MCDEMA3M
300,MCDEMA4G
301,MCDEMA5N
302,MCDEMA6SS
303,MCDEMA7RS
304,MC30EMA1SS
305,MC30EMA2RS
306,MC30EMA3H
307,MC30SMA1H
308,MC30SMA2S
309,MC30SMA3M
310,MC30SMA4G
311,MC30ST1N
312,MC30ST2M
313,MC15EMA1RS
314,MC15EMA2H
315,MC15SMA1G
316,MC15SMA2N
317,MC15SMA3S
318,MC15ST1N
319,MC15ST2S
320,MC5EMA1RS
321,MC5EMA2SS
322,MC5EMA3SS
323,MC5ST1M
324,MC5ST2G
325,Prudent
